Sesjon;Gruppe;InnstKode;Nummer;gmlord;emneord;Filnavn
1998-99;L;O ;30;POLITI OG PÅTALEMYNDIGHET;POLITI OG PÅTALEMYNDIGHET;oi030-99.xml
1998-99;L;O ;31;HANDEL;HANDEL;oi031-99.xml
1998-99;L;O ;31;FORBRUKERSAKER;FORBRUKERSAKER;oi031-99.xml
1998-99;L;O ;32;FAMILIE;FAMILIE;oi032-99.xml
1998-99;L;O ;32;STATSFORVALTNING;STATSFORVALTNING;oi032-99.xml
1998-99;L;O ;33;VEGTRAFIKK;VEGTRAFIKK;oi033-99.xml
1998-99;L;O ;33;HUSDYR;HUSDYR;oi033-99.xml
1998-99;L;O ;34;STATSFORVALTNING;STATSFORVALTNING;oi034-99.xml
1998-99;L;O ;35;STATSFORVALTNING;STATSFORVALTNING;oi035-99.xml
1998-99;L;O ;36;FYLKER;FYLKER;oi036-99.xml
1998-99;L;O ;36;KOMMUNER;KOMMUNER;oi036-99.xml
1998-99;L;O ;36;STATSFORVALTNING;STATSFORVALTNING;oi036-99.xml
1998-99;L;O ;37;KULTUR;KULTUR;oi037-99.xml
1998-99;L;O ;37;EFTA/EU;EU/EØS;oi037-99.xml
1998-99;L;O ;38;FISKERIER;FISKERIER;oi038-99.xml
1998-99;L;O ;38;FANGST;FANGST;oi038-99.xml
1998-99;L;O ;39;SÆRAVGIFTER;AVGIFTER;oi039-99.xml
1998-99;L;O ;40;SKATTEADMINISTRASJON;SKATTEADMINISTRASJON;oi040-99.xml
1998-99;L;O ;40;SKATTER;SKATTER;oi040-99.xml
1998-99;L;O ;41;KOMMUNER;KOMMUNER;oi041-99.xml
1998-99;L;O ;42;INNVANDRERE;INNVANDRERE;oi042-99.xml
1998-99;L;O ;43;SIVILRETT;SIVILRETT;oi043-99.xml
1998-99;L;O ;43;BOLIGSAKER;BOLIGSAKER;oi043-99.xml
1998-99;L;O ;44;FYLKER;FYLKER;oi044-99.xml
1998-99;L;O ;44;KOMMUNER;KOMMUNER;oi044-99.xml
1998-99;L;O ;45;POST;POST;oi045-99.xml
1998-99;L;O ;45;EFTA/EU;EU/EØS;oi045-99.xml
1998-99;L;O ;46;SJØFART;SJØFART;oi046-99.xml
1998-99;L;O ;46;SIKKERHET TIL SJØS;SIKKERHET TIL SJØS;oi046-99.xml
1998-99;L;O ;46;HAVNER;HAVNER;oi046-99.xml
1998-99;L;O ;47;FYLKER;FYLKER;oi047-99.xml
1998-99;L;O ;47;KOMMUNER;KOMMUNER;oi047-99.xml
1998-99;L;O ;48;LANDBRUK;LANDBRUK;oi048-99.xml
1998-99;L;O ;49;SOSIALVESEN;SOSIALE TJENESTER;oi049-99.xml
1998-99;L;O ;49;BARNEVERN;BARNEVERN;oi049-99.xml
1998-99;L;O ;50;STRAFFERETT;STRAFFERETT;oi050-99.xml
1998-99;L;O ;50;POLITI OG PÅTALEMYNDIGHET;POLITI OG PÅTALEMYNDIGHET;oi050-99.xml
1998-99;L;O ;51;LIKESTILLING;LIKESTILLING;oi051-99.xml
1998-99;L;O ;51;TRAKTATER;TRAKTATER;oi051-99.xml
1998-99;L;O ;51;MENNESKERETTIGHETER;MENNESKERETTIGHETER;oi051-99.xml
1998-99;L;O ;52;JERNBANER;JERNBANER;oi052-99.xml
1998-99;L;O ;53;FAMILIE;FAMILIE;oi053-99.xml
1998-99;L;O ;53;BARN;BARN;oi053-99.xml
1998-99;L;O ;54;TELEKOMMUNIKASJONER;KOMMUNIKASJONSTEKNOLOGI;oi054-99.xml
1998-99;L;O ;55;FISKERIER;FISKERIER;oi055-99.xml
1998-99;L;O ;56;LANDBRUKSPRODUKTER;LANDBRUKSPRODUKTER;oi056-99.xml
1998-99;L;O ;57;AKSJER;AKSJER;oi057-99.xml
1998-99;L;O ;58;HELSEVESEN;HELSEVESEN;oi058-99.xml
1998-99;L;O ;58;HELSEPERSONELL;HELSEPERSONELL;oi058-99.xml
1998-99;L;O ;59;TRYGDER;TRYGDER;oi059-99.xml
1998-99;L;O ;60;SIVILRETT;SIVILRETT;oi060-99.xml
1998-99;L;O ;60;LIKESTILLING;LIKESTILLING;oi060-99.xml
1998-99;L;O ;61;VALG;VALG;oi061-99.xml
1998-99;L;O ;61;FYLKER;FYLKER;oi061-99.xml
1998-99;L;O ;61;KOMMUNER;KOMMUNER;oi061-99.xml
1998-99;L;O ;62;SJØFART;SJØFART;oi062-99.xml
1998-99;L;O ;63;DOMSTOLER;DOMSTOLER;oi063-99.xml
1998-99;L;O ;63;STRAFFERETT;STRAFFERETT;oi063-99.xml
1998-99;L;O ;64;FENGSLER;FENGSLER;oi064-99.xml
1998-99;L;O ;64;BARN;BARN;oi064-99.xml
1998-99;L;O ;64;POLITI OG PÅTALEMYNDIGHET;POLITI OG PÅTALEMYNDIGHET;oi064-99.xml
1998-99;L;O ;65;HELSEVESEN;HELSEVESEN;oi065-99.xml
1998-99;L;O ;65;SYKEHUS;SYKEHUS;oi065-99.xml
1998-99;L;O ;65;HELSEPERSONELL;HELSEPERSONELL;oi065-99.xml
1998-99;L;O ;66;BANKER;BANKER;oi066-99.xml
1998-99;L;O ;66;FINANSER;FINANSER;oi066-99.xml
1998-99;L;O ;67;HANDEL;HANDEL;oi067-99.xml
1998-99;L;O ;67;AKSJER;AKSJER;oi067-99.xml
1998-99;L;O ;68;ELEKTRISITET;ELEKTRISITET;oi068-99.xml
1998-99;L;O ;68;VASSDRAGSREGULERING;VASSDRAGSREGULERING;oi068-99.xml
1998-99;L;O ;69;FORBRUKERSAKER;FORBRUKERSAKER;oi069-99.xml
1998-99;L;O ;69;EFTA/EU;EU/EØS;oi069-99.xml
1998-99;L;O ;70;FORBRUKERSAKER;FORBRUKERSAKER;oi070-99.xml
1998-99;L;O ;70;MILJØVERN;MILJØVERN;oi070-99.xml
1998-99;L;O ;71;ATOMVÅPEN;ATOMVÅPEN;oi071-99.xml
1998-99;L;O ;71;TRAKTATER;TRAKTATER;oi071-99.xml
1998-99;L;O ;72;KOMMUNER;KOMMUNER;oi072-99.xml
1998-99;L;O ;73;HELSEVESEN;HELSEVESEN;oi073-99.xml
1998-99;L;O ;73;SYKEHUS;SYKEHUS;oi073-99.xml
1998-99;L;O ;74;OLJEOMSETNING;OLJE OG GASS;oi074-99.xml
1998-99;L;O ;74;EFTA/EU;EU/EØS;oi074-99.xml
1998-99;L;O ;75;POST;POST;oi075-99.xml
1998-99;L;O ;75;STATSBANKER;BANKER;oi075-99.xml
1998-99;L;O ;76;KOMMUNER;KOMMUNER;oi076-99.xml
1998-99;L;O ;76;STATSBANKER;BANKER;oi076-99.xml
1998-99;L;O ;77;RETTSVESEN;RETTSVESEN;oi077-99.xml
1998-99;L;O ;77;SIVILRETT;SIVILRETT;oi077-99.xml
1998-99;L;O ;78;STATENS PERSONALPOLITIKK;STATENS PERSONALPOLITIKK;oi078-99.xml
1998-99;L;O ;78;TELEKOMMUNIKASJONER;KOMMUNIKASJONSTEKNOLOGI;oi078-99.xml
1998-99;L;O ;79;TRYGDER;TRYGDER;oi079-99.xml
1998-99;L;O ;80;UNIVERSITETER;UNIVERSITETER;oi080-99.xml
1998-99;L;O ;80;HØGSKOLER;HØGSKOLER;oi080-99.xml
1998-99;L;O ;81;UTDANNING;UTDANNING;oi081-99.xml
1998-99;L;O ;82;KRINGKASTING;KRINGKASTING;oi082-99.xml
1998-99;L;O ;82;MASSEMEDIER;MASSEMEDIER;oi082-99.xml
1998-99;L;O ;82;GRUNNLOVEN;GRUNNLOVEN;oi082-99.xml
1998-99;L;O ;83;STATSFORVALTNING;STATSFORVALTNING;oi083-99.xml
1998-99;L;O ;84;BANKER;BANKER;oi084-99.xml
1998-99;L;O ;84;STATSBANKER;BANKER;oi084-99.xml
1998-99;L;O ;84;FINANSER;FINANSER;oi084-99.xml
1998-99;L;O ;85;FAMILIE;FAMILIE;oi085-99.xml
1998-99;L;O ;85;BARNEHAGER;BARNEHAGER;oi085-99.xml
1998-99;L;O ;86;STATENS PERSONALPOLITIKK;STATENS PERSONALPOLITIKK;oi086-99.xml
1998-99;L;O ;86;TRYGDER;TRYGDER;oi086-99.xml
1998-99;L;O ;87;KRINGKASTING;KRINGKASTING;oi087-99.xml
1998-99;L;O ;87;EFTA/EU;EU/EØS;oi087-99.xml
1998-99;L;O ;87;TELEKOMMUNIKASJONER;KOMMUNIKASJONSTEKNOLOGI;oi087-99.xml
1998-99;L;O ;88;NATURVERN;NATURVERN;oi088-99.xml
1998-99;L;O ;88;HUSDYR;HUSDYR;oi088-99.xml
1998-99;L;O ;88;REINDRIFT;REINDRIFT;oi088-99.xml
1998-99;L;O ;89;PERSONVERN;PERSONVERN;oi089-99.xml
1998-99;L;O ;89;POLITI OG PÅTALEMYNDIGHET;POLITI OG PÅTALEMYNDIGHET;oi089-99.xml
1998-99;L;O ;89;GRENSESPØRSMÅL;GRENSESPØRSMÅL;oi089-99.xml
1998-99;L;O ;89;EFTA/EU;EU/EØS;oi089-99.xml
1998-99;L;O ;90;VAREHANDEL;VAREHANDEL;oi090-99.xml
1998-99;L;O ;90;FORBRUKERSAKER;FORBRUKERSAKER;oi090-99.xml
1998-99;L;O ;91;HELSEVESEN;HELSEVESEN;oi091-99.xml
1998-99;L;O ;92;SKOLER;SKOLER;oi092-99.xml
1998-99;L;O ;93;POST;POST;oi093-99.xml
1998-99;L;O ;93;BANKER;BANKER;oi093-99.xml
1998-99;L;O ;93;STATSBANKER;BANKER;oi093-99.xml
1998-99;L;O ;94;OLJE;OLJE OG GASS;oi094-99.xml
1998-99;L;O ;94;STATSBUDSJETTET;STATSBUDSJETTET;oi094-99.xml
1998-99;L;O ;95;PRISER OG KONKURRANSEFORHOLD;PRISER OG KONKURRANSEFORHOLD;oi095-99.xml
1998-99;L;O ;96;UTENRIKSSAKER;UTENRIKSSAKER;oi096-99.xml
1998-99;L;O ;97;PERSONVERN;PERSONVERN;oi097-99.xml
1998-99;L;O ;97;POLITI OG PÅTALEMYNDIGHET;POLITI OG PÅTALEMYNDIGHET;oi097-99.xml
1998-99;L;O ;98;AKSJER;AKSJER;oi098-99.xml
1998-99;L;O ;99;LANDBRUKSPRODUKTER;LANDBRUKSPRODUKTER;oi099-99.xml
1998-99;L;O ;100;SKATTER;SKATTER;oi100-99.xml
1998-99;L;O ;100;MERVERDIAVGIFT;MERVERDIAVGIFT;oi100-99.xml
1998-99;L;O ;100;SÆRAVGIFTER;AVGIFTER;oi100-99.xml
1998-99;L;O ;100;RUSMIDLER;RUSMIDLER;oi100-99.xml
1998-99;S;S ;13;NORDISK SAMARBEID;NORDISK SAMARBEID;si013-99.xml
1998-99;S;S ;16;EFTA/EU;EU/EØS;si016-99.xml
1998-99;S;S ;16;FINANSER;FINANSER;si016-99.xml
1998-99;S;S ;17;ARBEIDSLIV;ARBEIDSLIV;si017-99.xml
1998-99;S;S ;17;SYSSELSETTING;SYSSELSETTING;si017-99.xml
1998-99;S;S ;17;BERGVERK;BERGVERK;si017-99.xml
1998-99;S;S ;18;SAMER;SAMER;si018-99.xml
1998-99;S;S ;19;UTENRIKSSAKER;UTENRIKSSAKER;si019-99.xml
1998-99;S;S ;19;UTVIKLINGSHJELP;UTVIKLINGSSAMARBEID;si019-99.xml
1998-99;S;S ;19;FREDSARBEID;FREDSARBEID;si019-99.xml
1998-99;S;S ;20;RIKSREVISJONEN;RIKSREVISJONEN;si020-99.xml
1998-99;S;S ;20;FAMILIE;FAMILIE;si020-99.xml
1998-99;S;S ;20;HUSBANKEN;HUSBANKEN;si020-99.xml
1998-99;S;S ;21;STATSFORVALTNING;STATSFORVALTNING;si021-99.xml
1998-99;S;S ;21;STORTINGET;STORTINGET;si021-99.xml
1998-99;S;S ;22;ARBEIDSLIV;ARBEIDSLIV;si022-99.xml
1998-99;S;S ;22;SJØFART;SJØFART;si022-99.xml
1998-99;S;S ;22;SJØFOLK;SJØFART;si022-99.xml
1998-99;S;S ;23;REGJERINGEN;REGJERINGEN;si023-99.xml
1998-99;S;S ;23;STORTINGSREPRESENTANTER;STORTINGSREPRESENTANTER;si023-99.xml
1998-99;S;S ;23;LØNN;LØNN OG INNTEKT;si023-99.xml
1998-99;S;S ;24;LANDBRUK;LANDBRUK;si024-99.xml
1998-99;S;S ;25;RETTFERDSVEDERLAG;RETTFERDSVEDERLAG;si025-99.xml
1998-99;S;S ;26;HANDEL;HANDEL;si026-99.xml
1998-99;S;S ;26;FORBRUKERSAKER;FORBRUKERSAKER;si026-99.xml
1998-99;S;S ;26;EFTA/EU;EU/EØS;si026-99.xml
1998-99;S;S ;27;SIVILE VERNEPLIKTIGE;SAMFUNNSSIKKERHET;si027-99.xml
1998-99;S;S ;28;FUNKSJONSHEMMEDE;FUNKSJONSHEMMEDE;si028-99.xml
1998-99;S;S ;28;SYKEHUS;SYKEHUS;si028-99.xml
1998-99;S;S ;28;TELEKOMMUNIKASJONER;KOMMUNIKASJONSTEKNOLOGI;si028-99.xml
1998-99;S;S ;29;ARBEIDSVILKÅR;ARBEIDSVILKÅR;si029-99.xml
1998-99;S;S ;29;EFTA/EU;EU/EØS;si029-99.xml
1998-99;S;S ;30;TRAKTATER;TRAKTATER;si030-99.xml
1998-99;S;S ;30;UTVIKLINGSHJELP;UTVIKLINGSSAMARBEID;si030-99.xml
1998-99;S;S ;31;ØKONOMISK SAMARBEID;ØKONOMISK SAMARBEID;si031-99.xml
1998-99;S;S ;31;FINANSER;FINANSER;si031-99.xml
1998-99;S;S ;32;VEGVESEN;VEGVESEN;si032-99.xml
1998-99;S;S ;33;SYKEHUS;SYKEHUS;si033-99.xml
1998-99;S;S ;33;SVANGERSKAP;SVANGERSKAP;si033-99.xml
1998-99;S;S ;35;REGJERINGEN;REGJERINGEN;si035-99.xml
1998-99;S;S ;36;INTERNASJONALT SAMARBEID;INTERNASJONALT SAMARBEID;si036-99.xml
1998-99;S;S ;36;FORSKNING;FORSKNING;si036-99.xml
1998-99;S;S ;37;SKATTER;SKATTER;si037-99.xml
1998-99;S;S ;37;TRYGDER;TRYGDER;si037-99.xml
1998-99;S;S ;38;UTENRIKSSAKER;UTENRIKSSAKER;si038-99.xml
1998-99;S;S ;39;STATENS PERSONALPOLITIKK;STATENS PERSONALPOLITIKK;si039-99.xml
1998-99;S;S ;39;TRYGDER;TRYGDER;si039-99.xml
1998-99;S;S ;40;RUSMIDLER;RUSMIDLER;si040-99.xml
1998-99;S;S ;41;SYKEHUS;SYKEHUS;si041-99.xml
1998-99;S;S ;41;SYKDOMMER;SYKDOMMER;si041-99.xml
1998-99;S;S ;42;NORGES BANK;NORGES BANK;si042-99.xml
1998-99;S;S ;42;ØKONOMISK SAMARBEID;ØKONOMISK SAMARBEID;si042-99.xml
1998-99;S;S;43;LUFTFART;LUFTFART;si043-99.xml
1998-99;S;S ;44;KULTUR;KULTUR;si044-99.xml
1998-99;S;S ;44;KUNST;KUNST;si044-99.xml
1998-99;S;S ;45;FAMILIE;FAMILIE;si045-99.xml
1998-99;S;S ;45;SVANGERSKAP;SVANGERSKAP;si045-99.xml
1998-99;S;S ;45;TRYGDER;TRYGDER;si045-99.xml
1998-99;S;S ;46;TRYGDER;TRYGDER;si046-99.xml
1998-99;S;S ;47;FAMILIE;FAMILIE;si047-99.xml
1998-99;S;S ;47;BARN;BARN;si047-99.xml
1998-99;S;S ;47;BARNEHAGER;BARNEHAGER;si047-99.xml
1998-99;S;S ;47;BARNEVERN;BARNEVERN;si047-99.xml
1998-99;S;S ;47;DEPARTEMENTER;DEPARTEMENTER;si047-99.xml
1998-99;S;S ;47;FORBRUKERSAKER;FORBRUKERSAKER;si047-99.xml
1998-99;S;S ;47;UNGDOMSARBEID;UNGDOMSARBEID;si047-99.xml
1998-99;S;S ;47;BARNETRYGD;TRYGDER;si047-99.xml
1998-99;S;S ;48;FISKERIER;FISKERIER;si048-99.xml
1998-99;S;S ;48;FORSKNING;FORSKNING;si048-99.xml
1998-99;S;S ;49;RETTSVESEN;RETTSVESEN;si049-99.xml
1998-99;S;S ;49;DOMSTOLER;DOMSTOLER;si049-99.xml
1998-99;S;S ;49;KRIMINALOMSORG;KRIMINALOMSORG;si049-99.xml
1998-99;S;S ;49;INTERNASJONALT SAMARBEID;INTERNASJONALT SAMARBEID;si049-99.xml
1998-99;S;S ;49;DEPARTEMENTER;DEPARTEMENTER;si049-99.xml
1998-99;S;S ;49;POLITI OG PÅTALEMYNDIGHET;POLITI OG PÅTALEMYNDIGHET;si049-99.xml
1998-99;S;S ;49;STATSFORVALTNING;STATSFORVALTNING;si049-99.xml
1998-99;S;S ;49;SIVILE VERNEPLIKTIGE;SAMFUNNSSIKKERHET;si049-99.xml
1998-99;S;S;50;DEPARTEMENTER;DEPARTEMENTER;si050-99.xml
1998-99;S;S;50;FORSVAR;FORSVAR;si050-99.xml
1998-99;S;S;50;FORSVARSMATERIELL;FORSVARSMATERIELL;si050-99.xml
1998-99;S;S;50;FN-STYRKER;FN-STYRKER;si050-99.xml
1998-99;S;S;50;NATO;NATO;si050-99.xml
1998-99;S;S;50;SIVIL BEREDSKAP;SAMFUNNSSIKKERHET;si050-99.xml
1998-99;S;S;50;STATSBUDSJETTET;STATSBUDSJETTET;si050-99.xml
1998-99;S;S;50;MILITÆRT PERSONELL;MILITÆRT PERSONELL;si050-99.xml
1998-99;S;S ;51;DEPARTEMENTER;DEPARTEMENTER;si051-99.xml
1998-99;S;S ;51;ELEKTRISITET;ELEKTRISITET;si051-99.xml
1998-99;S;S ;51;VASSDRAGSREGULERING;VASSDRAGSREGULERING;si051-99.xml
1998-99;S;S ;51;OLJE;OLJE OG GASS;si051-99.xml
1998-99;S;S ;51;OLJEUTVINNING;OLJE OG GASS;si051-99.xml
1998-99;S;S ;52;FORURENSNING;FORURENSNING;si052-99.xml
1998-99;S;S ;52;INTERNASJONALT SAMARBEID;INTERNASJONALT SAMARBEID;si052-99.xml
1998-99;S;S ;52;NATURVERN;NATURVERN;si052-99.xml
1998-99;S;S ;52;DEPARTEMENTER;DEPARTEMENTER;si052-99.xml
1998-99;S;S ;52;MILJØVERN;MILJØVERN;si052-99.xml
1998-99;S;S ;52;KARTVERK;KARTVERK;si052-99.xml
1998-99;S;S ;52;POLAROMRÅDER;POLAROMRÅDER;si052-99.xml
1998-99;S;S ;53;SYSSELSETTING;SYSSELSETTING;si053-99.xml
1998-99;S;S ;53;INNVANDRERE;INNVANDRERE;si053-99.xml
1998-99;S;S ;53;DEPARTEMENTER;DEPARTEMENTER;si053-99.xml
1998-99;S;S ;53;LØNN;LØNN OG INNTEKT;si053-99.xml
1998-99;S;S ;53;FYLKESKOMMUNENES ØKONOMI;FYLKESKOMMUNENES ØKONOMI;si053-99.xml
1998-99;S;S ;53;HUSBANKEN;HUSBANKEN;si053-99.xml
1998-99;S;S ;53;TRYGDER;TRYGDER;si053-99.xml
1998-99;S;S ;53;ARBEIDSMILJØ;ARBEIDSMILJØ;si053-99.xml
1998-99;S;S ;53;DISTRIKTSPOLITIKK;DISTRIKTSPOLITIKK;si053-99.xml
1998-99;S;S ;54;INTERNASJONALT SAMARBEID;INTERNASJONALT SAMARBEID;si054-99.xml
1998-99;S;S ;54;DEPARTEMENTER;DEPARTEMENTER;si054-99.xml
1998-99;S;S ;54;UTENRIKSHANDEL;UTENRIKSHANDEL;si054-99.xml
1998-99;S;S ;54;MILJØVERN;MILJØVERN;si054-99.xml
1998-99;S;S ;54;UTENRIKSSAKER;UTENRIKSSAKER;si054-99.xml
1998-99;S;S ;54;UTVIKLINGSHJELP;UTVIKLINGSSAMARBEID;si054-99.xml
1998-99;S;S ;54;FREDSARBEID;FREDSARBEID;si054-99.xml
1998-99;S;S ;54;STATSBUDSJETTET;STATSBUDSJETTET;si054-99.xml
1998-99;S;S ;55;SAMER;SAMER;si055-99.xml
1998-99;S;S ;55;TRAKTATER;TRAKTATER;si055-99.xml
1998-99;S;S ;55;EUROPARÅDET;EUROPARÅDET;si055-99.xml
1998-99;S;S ;56;SIKKERHET TIL SJØS;SIKKERHET TIL SJØS;si056-99.xml
1998-99;S;S ;56;HAVNER;HAVNER;si056-99.xml
1998-99;S;S ;57;SIKKERHET TIL SJØS;SIKKERHET TIL SJØS;si057-99.xml
1998-99;S;S ;58;STATSLÅN;STATSLÅN;si058-99.xml
1998-99;S;S ;58;SAMFERDSEL;SAMFERDSEL;si058-99.xml
1998-99;S;S ;58;JERNBANER;JERNBANER;si058-99.xml
1998-99;S;S ;58;LUFTFART;LUFTFART;si058-99.xml
1998-99;S;S ;58;FERGER;FERGER;si058-99.xml
1998-99;S;S ;58;TELEKOMMUNIKASJONER;KOMMUNIKASJONSTEKNOLOGI;si058-99.xml
1998-99;S;S ;58;VEGVESEN;VEGVESEN;si058-99.xml
1998-99;S;S ;59;STATENS PERSONALPOLITIKK;STATENS PERSONALPOLITIKK;si059-99.xml
1998-99;S;S ;59;DEPARTEMENTER;DEPARTEMENTER;si059-99.xml
1998-99;S;S ;59;PRISER OG KONKURRANSEFORHOLD;PRISER OG KONKURRANSEFORHOLD;si059-99.xml
1998-99;S;S ;59;STATSFORVALTNING;STATSFORVALTNING;si059-99.xml
1998-99;S;S ;59;STATSEIENDOMMER;STATSEIENDOMMER;si059-99.xml
1998-99;S;S ;59;TRYGDER;TRYGDER;si059-99.xml
1998-99;S;S ;60;FORURENSNING;FORURENSNING;si060-99.xml
1998-99;S;S ;60;FORSKNING;FORSKNING;si060-99.xml
1998-99;S;S ;60;NÆRINGSLIV;NÆRINGSLIV;si060-99.xml
1998-99;S;S ;60;NÆRINGSUTVIKLING;NÆRINGSUTVIKLING;si060-99.xml
1998-99;S;S ;60;STATSBEDRIFTER;STATLIG EIERSKAP;si060-99.xml
1998-99;S;S ;60;VERFTSINDUSTRI;VERFTSINDUSTRI;si060-99.xml
1998-99;S;S ;61;LANDBRUK;LANDBRUK;si061-99.xml
1998-99;S;S ;61;STATSLÅN;STATSLÅN;si061-99.xml
1998-99;S;S ;61;NATURSKADER;NATURSKADER;si061-99.xml
1998-99;S;S ;61;VETERINÆRVESEN;VETERINÆRVESEN;si061-99.xml
1998-99;S;S ;61;SÆRAVGIFTER;AVGIFTER;si061-99.xml
1998-99;S;S ;62;FISKERIER;FISKERIER;si062-99.xml
1998-99;S;S ;62;DEPARTEMENTER;DEPARTEMENTER;si062-99.xml
1998-99;S;S ;62;HAVBRUK;HAVBRUK;si062-99.xml
1998-99;S;S ;63;DEN NORSKE KIRKE;DEN NORSKE KIRKE;si063-99.xml
1998-99;S;S ;63;SKOLER;SKOLER;si063-99.xml
1998-99;S;S ;63;UTDANNING;UTDANNING;si063-99.xml
1998-99;S;S ;63;PRIVATSKOLER;PRIVATSKOLER;si063-99.xml
1998-99;S;S ;63;SPESIALUNDERVISNING;SPESIALUNDERVISNING;si063-99.xml
1998-99;S;S ;63;UNIVERSITETER;UNIVERSITETER;si063-99.xml
1998-99;S;S ;63;STUDIEFINANSIERING;STUDIEFINANSIERING;si063-99.xml
1998-99;S;S ;63;FORSKNING;FORSKNING;si063-99.xml
1998-99;S;S ;63;BIBLIOTEK OG LITTERATUR;BIBLIOTEK OG LITTERATUR;si063-99.xml
1998-99;S;S ;63;TROSSAMFUNN;TROSSAMFUNN;si063-99.xml
1998-99;S;S ;63;VIDEREGÅENDE SKOLER;VIDEREGÅENDE SKOLER;si063-99.xml
1998-99;S;S ;63;HØGSKOLER;HØGSKOLER;si063-99.xml
1998-99;S;S ;63;GRUNNSKOLE;GRUNNSKOLE;si063-99.xml
1998-99;S;S ;64;SIVILE VERNEPLIKTIGE;SAMFUNNSSIKKERHET;si064-99.xml
1998-99;S;S ;65;STATSLÅN;STATSLÅN;si065-99.xml
1998-99;S;S ;66;BANKER;BANKER;si066-99.xml
1998-99;S;S ;66;NORGES BANK;NORGES BANK;si066-99.xml
1998-99;S;S ;66;FINANSER;FINANSER;si066-99.xml
1998-99;S;S ;67;DEN NORSKE KIRKE;DEN NORSKE KIRKE;si067-99.xml
1998-99;S;S ;67;INNVANDRERE;INNVANDRERE;si067-99.xml
1998-99;S;S ;67;POLITI OG PÅTALEMYNDIGHET;POLITI OG PÅTALEMYNDIGHET;si067-99.xml
1998-99;S;S ;68;SOSIALVESEN;SOSIALE TJENESTER;si068-99.xml
1998-99;S;S ;68;FAMILIE;FAMILIE;si068-99.xml
1998-99;S;S ;68;FUNKSJONSHEMMEDE;FUNKSJONSHEMMEDE;si068-99.xml
